40
40
0 0 4.722797E-8
0 1 1.9209926E-7
0 2 6.87804E-7
0 3 2.1677733E-6
0 4 6.0141247E-6
3 5 1.4687266E-5
0 6 3.157335E-5
30 7 5.974683E-5
0 8 9.952471E-5
0 9 1.4594314E-4
0 10 1.8841098E-4
0 11 2.1417777E-4
2 12 2.1447375E-4
0 13 1.8940342E-4
20 14 1.4795997E-4
0 15 1.03155966E-4
0 16 6.58957E-5
0 17 4.1499356E-5
0 18 3.0013282E-5
21 19 2.8666589E-5
0 20 3.4224708E-5
0 21 4.412596E-5
0 22 5.65519E-5
0 23 7.006648E-5
29 24 8.330462E-5
10 25 9.487974E-5
10 26 1.03482074E-4
20 27 1.080721E-4
20 28 1.0807207E-4
20 29 1.0348181E-4
20 30 9.4877905E-5
